Job running on nodes: jean-zay-iam05
Resolved 60 packages in 74ms
Configuring sharding...
Number of distributed processes = 1
Number of total devices: 8
0/1 : global [CudaDevice(id=0), CudaDevice(id=1), CudaDevice(id=2), CudaDevice(id=3), CudaDevice(id=4), CudaDevice(id=5), CudaDevice(id=6), CudaDevice(id=7)]
0/1 : local [CudaDevice(id=0), CudaDevice(id=1), CudaDevice(id=2), CudaDevice(id=3), CudaDevice(id=4), CudaDevice(id=5), CudaDevice(id=6), CudaDevice(id=7)]
0/1 : hostname:  jean-zay-iam05
args_setup: Namespace(config='/lustre/fswork/projects/rech/rgs/uvm91ap/projects/deepNQS/ConvNext/13_12_24/ExpansionFactor/1/config.yaml', system='Shastry_Sutherland', network='ConvNext')
args: Namespace(config=None, system=None, network=None, L=10, J=[0.8, 1.0], n_blocks=[4], features=[72], expansion_factor=1, net_type='Vanilla', kernel_width=3, downsample_factor=2, init_kernel_width=1, samples_per_rank=512, n_chains_per_rank=512, discard_fraction=0.0, iters=[2500, 2500, 2500, 2500], lr=[0.01, 0.01, 0.01, 0.01], diag_shift=[0.01, 0.01, 0.01, 0.01], diag_shift_factor=[0.0001, 0.0001, 0.0001, 0.0001], r=1e-06, save_base='', save_num=0, seed=101, time_it=0, show_progress=1, chunk_size=512, lr_factor=[0.5, 0.5, 0.5, 0.5], save_every=100, symmetries=0, symmetry_ramping=1, momentum=0.9, checkpoint=1, post_iters=50, sweep_factor=1, double_precision=1)
Double precision enabled =  True
Using net_type=Vanilla
Number of symmetry stages = 4
Maximum no. of parameters = 57384, total number of samples = 4096
Using minSR = True
Running optimization...
Symmetry stage 0/3 on process 0:
Compiling...

  0%|          | 0/1 [00:00<?, ?it/s]2024-12-14 02:07:47.503829: W external/xla/xla/service/gpu/ir_emitter_unnested.cc:1171] Unable to parse backend config for custom call: Could not convert JSON string to proto: Expected : between key:value pair.
= 0 : ui8, lower = t
^
Fall back to parse the raw backend config str.

  0%|          | 0/1 [00:28<?, ?it/s, Energy=56.66-1.75j ± 0.67 [σ²=1825.47]]
100%|██████████| 1/1 [00:00<00:00,  3.53it/s, Energy=56.66-1.75j ± 0.67 [σ²=1825.47]]
100%|██████████| 1/1 [00:00<00:00,  3.53it/s, Energy=56.66-1.75j ± 0.67 [σ²=1825.47]]
Compilation time = 29s
Running optimization...

  0%|          | 0/2500 [00:00<?, ?it/s]2024-12-14 02:08:06.333023: W external/xla/xla/service/gpu/ir_emitter_unnested.cc:1171] Unable to parse backend config for custom call: Could not convert JSON string to proto: Expected : between key:value pair.
= 0 : ui8, lower = t
^
Fall back to parse the raw backend config str.

  0%|          | 0/2500 [00:13<?, ?it/s, Energy=17.05-0.44j ± 0.55 [σ²=1255.42]]
  0%|          | 0/2500 [00:01<?, ?it/s, Energy=-11.44-0.26j ± 0.49 [σ²=985.33]]
  0%|          | 1/2500 [00:01<1:02:50,  1.51s/it, Energy=-11.44-0.26j ± 0.49 [σ²=985.33]]
  0%|          | 1/2500 [00:02<1:02:50,  1.51s/it, Energy=-31.22+0.12j ± 0.43 [σ²=754.75]]
  0%|          | 2/2500 [00:02<1:01:28,  1.48s/it, Energy=-31.22+0.12j ± 0.43 [σ²=754.75]]
  0%|          | 2/2500 [00:04<1:01:28,  1.48s/it, Energy=-48.32+0.66j ± 0.40 [σ²=665.78]]
  0%|          | 3/2500 [00:04<1:01:08,  1.47s/it, Energy=-48.32+0.66j ± 0.40 [σ²=665.78]]
  0%|          | 3/2500 [00:05<1:01:08,  1.47s/it, Energy=-62.91+0.42j ± 0.39 [σ²=613.92]]
  0%|          | 4/2500 [00:05<1:00:58,  1.47s/it, Energy=-62.91+0.42j ± 0.39 [σ²=613.92]]
  0%|          | 4/2500 [00:07<1:00:58,  1.47s/it, Energy=-75.02-0.10j ± 0.37 [σ²=557.92]]
  0%|          | 5/2500 [00:07<1:00:45,  1.46s/it, Energy=-75.02-0.10j ± 0.37 [σ²=557.92]]
  0%|          | 5/2500 [00:08<1:00:45,  1.46s/it, Energy=-88.71-0.22j ± 0.35 [σ²=501.66]]
  0%|          | 6/2500 [00:08<1:00:45,  1.46s/it, Energy=-88.71-0.22j ± 0.35 [σ²=501.66]]
  0%|          | 6/2500 [00:10<1:00:45,  1.46s/it, Energy=-100.59+0.02j ± 0.33 [σ²=451.43]]
  0%|          | 7/2500 [00:10<1:00:44,  1.46s/it, Energy=-100.59+0.02j ± 0.33 [σ²=451.43]]
  0%|          | 7/2500 [00:11<1:00:44,  1.46s/it, Energy=-111.83+0.45j ± 0.32 [σ²=410.00]]
  0%|          | 8/2500 [00:11<1:00:42,  1.46s/it, Energy=-111.83+0.45j ± 0.32 [σ²=410.00]]
  0%|          | 8/2500 [00:13<1:00:42,  1.46s/it, Energy=-122.28+0.24j ± 0.30 [σ²=359.29]]
  0%|          | 9/2500 [00:13<1:00:41,  1.46s/it, Energy=-122.28+0.24j ± 0.30 [σ²=359.29]]
  0%|          | 9/2500 [00:14<1:00:41,  1.46s/it, Energy=-132.39+0.10j ± 0.27 [σ²=306.68]]
  0%|          | 10/2500 [00:14<1:00:41,  1.46s/it, Energy=-132.39+0.10j ± 0.27 [σ²=306.68]]
  0%|          | 10/2500 [00:16<1:00:41,  1.46s/it, Energy=-141.07-0.14j ± 0.25 [σ²=252.10]]
  0%|          | 11/2500 [00:16<1:00:32,  1.46s/it, Energy=-141.07-0.14j ± 0.25 [σ²=252.10]]
  0%|          | 11/2500 [00:17<1:00:32,  1.46s/it, Energy=-148.82+0.13j ± 0.23 [σ²=211.55]]
  0%|          | 12/2500 [00:17<1:00:31,  1.46s/it, Energy=-148.82+0.13j ± 0.23 [σ²=211.55]]
  0%|          | 12/2500 [00:19<1:00:31,  1.46s/it, Energy=-154.31-0.19j ± 0.21 [σ²=172.48]]
  1%|          | 13/2500 [00:19<1:00:30,  1.46s/it, Energy=-154.31-0.19j ± 0.21 [σ²=172.48]]
  1%|          | 13/2500 [00:20<1:00:30,  1.46s/it, Energy=-158.28-0.11j ± 0.18 [σ²=138.75]]
  1%|          | 14/2500 [00:20<1:00:31,  1.46s/it, Energy=-158.28-0.11j ± 0.18 [σ²=138.75]]
  1%|          | 14/2500 [00:21<1:00:31,  1.46s/it, Energy=-161.73+0.02j ± 0.17 [σ²=112.01]]
  1%|          | 15/2500 [00:21<1:00:30,  1.46s/it, Energy=-161.73+0.02j ± 0.17 [σ²=112.01]]
  1%|          | 15/2500 [00:23<1:00:30,  1.46s/it, Energy=-164.30-0.20j ± 0.15 [σ²=90.78]] 
  1%|          | 16/2500 [00:23<1:00:23,  1.46s/it, Energy=-164.30-0.20j ± 0.15 [σ²=90.78]]
  1%|          | 16/2500 [00:24<1:00:23,  1.46s/it, Energy=-166.50+0.08j ± 0.14 [σ²=80.20]]
  1%|          | 17/2500 [00:24<1:00:22,  1.46s/it, Energy=-166.50+0.08j ± 0.14 [σ²=80.20]]
  1%|          | 17/2500 [00:26<1:00:22,  1.46s/it, Energy=-168.04-0.10j ± 0.13 [σ²=65.40]]
  1%|          | 18/2500 [00:26<1:00:20,  1.46s/it, Energy=-168.04-0.10j ± 0.13 [σ²=65.40]]
  1%|          | 18/2500 [00:27<1:00:20,  1.46s/it, Energy=-169.25-0.07j ± 0.12 [σ²=60.01]]
  1%|          | 19/2500 [00:27<1:00:13,  1.46s/it, Energy=-169.25-0.07j ± 0.12 [σ²=60.01]]
  1%|          | 19/2500 [00:29<1:00:13,  1.46s/it, Energy=-170.29+0.11j ± 0.11 [σ²=53.91]]
  1%|          | 20/2500 [00:29<1:00:13,  1.46s/it, Energy=-170.29+0.11j ± 0.11 [σ²=53.91]]
  1%|          | 20/2500 [00:30<1:00:13,  1.46s/it, Energy=-171.23+0.03j ± 0.11 [σ²=50.30]]
  1%|          | 21/2500 [00:30<1:00:13,  1.46s/it, Energy=-171.23+0.03j ± 0.11 [σ²=50.30]]
  1%|          | 21/2500 [00:32<1:00:13,  1.46s/it, Energy=-172.03+0.03j ± 0.10 [σ²=41.95]]
  1%|          | 22/2500 [00:32<1:00:13,  1.46s/it, Energy=-172.03+0.03j ± 0.10 [σ²=41.95]]
  1%|          | 22/2500 [00:33<1:00:13,  1.46s/it, Energy=-172.440-0.028j ± 0.100 [σ²=40.827]]
  1%|          | 23/2500 [00:33<1:00:07,  1.46s/it, Energy=-172.440-0.028j ± 0.100 [σ²=40.827]]
  1%|          | 23/2500 [00:35<1:00:07,  1.46s/it, Energy=-173.203-0.013j ± 0.095 [σ²=37.212]]
  1%|          | 24/2500 [00:35<1:00:06,  1.46s/it, Energy=-173.203-0.013j ± 0.095 [σ²=37.212]]
  1%|          | 24/2500 [00:36<1:00:06,  1.46s/it, Energy=-173.698+0.021j ± 0.093 [σ²=35.474]]
  1%|          | 25/2500 [00:36<1:00:05,  1.46s/it, Energy=-173.698+0.021j ± 0.093 [σ²=35.474]]
  1%|          | 25/2500 [00:37<1:00:05,  1.46s/it, Energy=-174.025+0.042j ± 0.090 [σ²=32.937]]
  1%|          | 26/2500 [00:37<1:00:06,  1.46s/it, Energy=-174.025+0.042j ± 0.090 [σ²=32.937]]
  1%|          | 26/2500 [00:39<1:00:06,  1.46s/it, Energy=-174.423+0.007j ± 0.088 [σ²=31.402]]
  1%|          | 27/2500 [00:39<1:00:03,  1.46s/it, Energy=-174.423+0.007j ± 0.088 [σ²=31.402]]
  1%|          | 27/2500 [00:40<1:00:03,  1.46s/it, Energy=-174.863+0.057j ± 0.085 [σ²=29.643]]
  1%|          | 28/2500 [00:40<1:00:03,  1.46s/it, Energy=-174.863+0.057j ± 0.085 [σ²=29.643]]
  1%|          | 28/2500 [00:42<1:00:03,  1.46s/it, Energy=-175.097-0.028j ± 0.081 [σ²=26.577]]
  1%|          | 29/2500 [00:42<1:00:03,  1.46s/it, Energy=-175.097-0.028j ± 0.081 [σ²=26.577]]
  1%|          | 29/2500 [00:43<1:00:03,  1.46s/it, Energy=-175.244-0.007j ± 0.082 [σ²=27.290]]
  1%|          | 30/2500 [00:43<59:55,  1.46s/it, Energy=-175.244-0.007j ± 0.082 [σ²=27.290]]  
  1%|          | 30/2500 [00:45<59:55,  1.46s/it, Energy=-175.503+0.001j ± 0.078 [σ²=25.159]]
  1%|          | 31/2500 [00:45<59:57,  1.46s/it, Energy=-175.503+0.001j ± 0.078 [σ²=25.159]]
  1%|          | 31/2500 [00:46<59:57,  1.46s/it, Energy=-175.855-0.040j ± 0.078 [σ²=24.627]]
  1%|▏         | 32/2500 [00:46<59:51,  1.46s/it, Energy=-175.855-0.040j ± 0.078 [σ²=24.627]]
  1%|▏         | 32/2500 [00:48<59:51,  1.46s/it, Energy=-175.959+0.026j ± 0.077 [σ²=24.095]]
  1%|▏         | 33/2500 [00:48<59:52,  1.46s/it, Energy=-175.959+0.026j ± 0.077 [σ²=24.095]]
  1%|▏         | 33/2500 [00:49<59:52,  1.46s/it, Energy=-175.925-0.016j ± 0.077 [σ²=24.566]]
  1%|▏         | 34/2500 [00:49<59:51,  1.46s/it, Energy=-175.925-0.016j ± 0.077 [σ²=24.566]]
  1%|▏         | 34/2500 [00:51<59:51,  1.46s/it, Energy=-176.263+0.027j ± 0.075 [σ²=23.205]]
  1%|▏         | 35/2500 [00:51<59:50,  1.46s/it, Energy=-176.263+0.027j ± 0.075 [σ²=23.205]]
  1%|▏         | 35/2500 [00:52<59:50,  1.46s/it, Energy=-176.361-0.000j ± 0.074 [σ²=22.202]]
  1%|▏         | 36/2500 [00:52<59:51,  1.46s/it, Energy=-176.361-0.000j ± 0.074 [σ²=22.202]]
  1%|▏         | 36/2500 [00:53<59:51,  1.46s/it, Energy=-176.487-0.016j ± 0.074 [σ²=22.632]]
  1%|▏         | 37/2500 [00:53<59:49,  1.46s/it, Energy=-176.487-0.016j ± 0.074 [σ²=22.632]]
  1%|▏         | 37/2500 [00:55<59:49,  1.46s/it, Energy=-176.675+0.007j ± 0.071 [σ²=20.766]]
  2%|▏         | 38/2500 [00:55<59:48,  1.46s/it, Energy=-176.675+0.007j ± 0.071 [σ²=20.766]]
  2%|▏         | 38/2500 [00:56<59:48,  1.46s/it, Energy=-176.858-0.021j ± 0.071 [σ²=20.409]]
  2%|▏         | 39/2500 [00:56<59:46,  1.46s/it, Energy=-176.858-0.021j ± 0.071 [σ²=20.409]]
  2%|▏         | 39/2500 [00:58<59:46,  1.46s/it, Energy=-176.976+0.028j ± 0.069 [σ²=19.542]]
  2%|▏         | 40/2500 [00:58<59:43,  1.46s/it, Energy=-176.976+0.028j ± 0.069 [σ²=19.542]]
  2%|▏         | 40/2500 [00:59<59:43,  1.46s/it, Energy=-176.900+0.016j ± 0.070 [σ²=20.231]]
  2%|▏         | 41/2500 [00:59<59:41,  1.46s/it, Energy=-176.900+0.016j ± 0.070 [σ²=20.231]]
