Job running on nodes: jean-zay-iam38
Resolved 60 packages in 123ms
Configuring sharding...
Number of distributed processes = 1
Number of total devices: 8
0/1 : global [CudaDevice(id=0), CudaDevice(id=1), CudaDevice(id=2), CudaDevice(id=3), CudaDevice(id=4), CudaDevice(id=5), CudaDevice(id=6), CudaDevice(id=7)]
0/1 : local [CudaDevice(id=0), CudaDevice(id=1), CudaDevice(id=2), CudaDevice(id=3), CudaDevice(id=4), CudaDevice(id=5), CudaDevice(id=6), CudaDevice(id=7)]
0/1 : hostname:  jean-zay-iam38
args_setup: Namespace(config='/lustre/fswork/projects/rech/rgs/uvm91ap/projects/deepNQS/ConvNext/18_12_24/ExpansionFactor_depth2/3/config.yaml', system='Shastry_Sutherland', network='ConvNext')
args: Namespace(config=None, system=None, network=None, L=10, J=[0.8, 1.0], n_blocks=[2], features=[72], expansion_factor=4, net_type='Vanilla', kernel_width=3, downsample_factor=2, init_kernel_width=1, samples_per_rank=512, n_chains_per_rank=512, discard_fraction=0.0, iters=[2500, 2500, 2500, 2500], lr=[0.01, 0.01, 0.01, 0.01], diag_shift=[0.01, 0.01, 0.01, 0.01], diag_shift_factor=[0.0001, 0.0001, 0.0001, 0.0001], r=1e-06, save_base='', save_num=0, seed=6354, time_it=0, show_progress=1, chunk_size=512, lr_factor=[0.5, 0.5, 0.5, 0.5], save_every=100, symmetries=0, symmetry_ramping=1, momentum=0.9, checkpoint=1, post_iters=50, sweep_factor=1, double_precision=1)
Double precision enabled =  True
Using net_type=Vanilla
Number of symmetry stages = 4
Maximum no. of parameters = 97848, total number of samples = 4096
Using minSR = True
Running optimization...
Symmetry stage 0/3 on process 0:
Compiling...

  0%|          | 0/1 [00:00<?, ?it/s]2024-12-19 06:00:31.025796: W external/xla/xla/service/gpu/ir_emitter_unnested.cc:1171] Unable to parse backend config for custom call: Could not convert JSON string to proto: Expected : between key:value pair.
= 0 : ui8, lower = t
^
Fall back to parse the raw backend config str.

  0%|          | 0/1 [00:23<?, ?it/s, Energy=81.11+0.74j ± 0.60 [σ²=1482.32]]
100%|██████████| 1/1 [00:00<00:00,  4.69it/s, Energy=81.11+0.74j ± 0.60 [σ²=1482.32]]
100%|██████████| 1/1 [00:00<00:00,  4.68it/s, Energy=81.11+0.74j ± 0.60 [σ²=1482.32]]
Compilation time = 24s
Running optimization...

  0%|          | 0/2500 [00:00<?, ?it/s]2024-12-19 06:00:45.966331: W external/xla/xla/service/gpu/ir_emitter_unnested.cc:1171] Unable to parse backend config for custom call: Could not convert JSON string to proto: Expected : between key:value pair.
= 0 : ui8, lower = t
^
Fall back to parse the raw backend config str.

  0%|          | 0/2500 [00:10<?, ?it/s, Energy=40.11+0.10j ± 0.57 [σ²=1324.36]]
  0%|          | 0/2500 [00:01<?, ?it/s, Energy=12.23-0.39j ± 0.50 [σ²=1028.07]]
  0%|          | 1/2500 [00:01<1:06:30,  1.60s/it, Energy=12.23-0.39j ± 0.50 [σ²=1028.07]]
  0%|          | 1/2500 [00:03<1:06:30,  1.60s/it, Energy=-4.13+0.24j ± 0.44 [σ²=795.59]] 
  0%|          | 2/2500 [00:03<1:03:26,  1.52s/it, Energy=-4.13+0.24j ± 0.44 [σ²=795.59]]
  0%|          | 2/2500 [00:04<1:03:26,  1.52s/it, Energy=-14.68+0.05j ± 0.42 [σ²=712.70]]
  0%|          | 3/2500 [00:04<1:02:27,  1.50s/it, Energy=-14.68+0.05j ± 0.42 [σ²=712.70]]
  0%|          | 3/2500 [00:06<1:02:27,  1.50s/it, Energy=-23.00+0.53j ± 0.45 [σ²=816.74]]
  0%|          | 4/2500 [00:06<1:02:00,  1.49s/it, Energy=-23.00+0.53j ± 0.45 [σ²=816.74]]
  0%|          | 4/2500 [00:07<1:02:00,  1.49s/it, Energy=-31.87-0.15j ± 0.39 [σ²=615.84]]
  0%|          | 5/2500 [00:07<1:01:41,  1.48s/it, Energy=-31.87-0.15j ± 0.39 [σ²=615.84]]
  0%|          | 5/2500 [00:08<1:01:41,  1.48s/it, Energy=-40.48+0.06j ± 0.40 [σ²=649.91]]
  0%|          | 6/2500 [00:08<1:01:31,  1.48s/it, Energy=-40.48+0.06j ± 0.40 [σ²=649.91]]
  0%|          | 6/2500 [00:10<1:01:31,  1.48s/it, Energy=-49.10-0.57j ± 0.40 [σ²=655.61]]
  0%|          | 7/2500 [00:10<1:01:25,  1.48s/it, Energy=-49.10-0.57j ± 0.40 [σ²=655.61]]
  0%|          | 7/2500 [00:11<1:01:25,  1.48s/it, Energy=-57.84-0.44j ± 0.39 [σ²=634.78]]
  0%|          | 8/2500 [00:11<1:01:18,  1.48s/it, Energy=-57.84-0.44j ± 0.39 [σ²=634.78]]
  0%|          | 8/2500 [00:13<1:01:18,  1.48s/it, Energy=-68.77+0.23j ± 0.39 [σ²=607.66]]
  0%|          | 9/2500 [00:13<1:01:13,  1.47s/it, Energy=-68.77+0.23j ± 0.39 [σ²=607.66]]
  0%|          | 9/2500 [00:14<1:01:13,  1.47s/it, Energy=-80.64+0.36j ± 0.39 [σ²=616.83]]
  0%|          | 10/2500 [00:14<1:01:13,  1.48s/it, Energy=-80.64+0.36j ± 0.39 [σ²=616.83]]
  0%|          | 10/2500 [00:16<1:01:13,  1.48s/it, Energy=-92.85-0.53j ± 0.38 [σ²=598.54]]
  0%|          | 11/2500 [00:16<1:01:12,  1.48s/it, Energy=-92.85-0.53j ± 0.38 [σ²=598.54]]
  0%|          | 11/2500 [00:17<1:01:12,  1.48s/it, Energy=-104.93+0.09j ± 0.36 [σ²=536.64]]
  0%|          | 12/2500 [00:17<1:01:10,  1.48s/it, Energy=-104.93+0.09j ± 0.36 [σ²=536.64]]
  0%|          | 12/2500 [00:19<1:01:10,  1.48s/it, Energy=-116.93-0.03j ± 0.34 [σ²=463.64]]
  1%|          | 13/2500 [00:19<1:01:07,  1.47s/it, Energy=-116.93-0.03j ± 0.34 [σ²=463.64]]
  1%|          | 13/2500 [00:20<1:01:07,  1.47s/it, Energy=-127.97-0.38j ± 0.32 [σ²=423.70]]
  1%|          | 14/2500 [00:20<1:01:04,  1.47s/it, Energy=-127.97-0.38j ± 0.32 [σ²=423.70]]
  1%|          | 14/2500 [00:22<1:01:04,  1.47s/it, Energy=-138.29-0.04j ± 0.28 [σ²=330.23]]
  1%|          | 15/2500 [00:22<1:01:02,  1.47s/it, Energy=-138.29-0.04j ± 0.28 [σ²=330.23]]
  1%|          | 15/2500 [00:23<1:01:02,  1.47s/it, Energy=-146.73+0.21j ± 0.26 [σ²=269.97]]
  1%|          | 16/2500 [00:23<1:01:01,  1.47s/it, Energy=-146.73+0.21j ± 0.26 [σ²=269.97]]
  1%|          | 16/2500 [00:25<1:01:01,  1.47s/it, Energy=-153.39-0.14j ± 0.23 [σ²=216.88]]
  1%|          | 17/2500 [00:25<1:00:59,  1.47s/it, Energy=-153.39-0.14j ± 0.23 [σ²=216.88]]
  1%|          | 17/2500 [00:26<1:00:59,  1.47s/it, Energy=-158.63-0.15j ± 0.20 [σ²=164.38]]
  1%|          | 18/2500 [00:26<1:00:56,  1.47s/it, Energy=-158.63-0.15j ± 0.20 [σ²=164.38]]
  1%|          | 18/2500 [00:28<1:00:56,  1.47s/it, Energy=-162.59+0.03j ± 0.18 [σ²=130.04]]
  1%|          | 19/2500 [00:28<1:00:54,  1.47s/it, Energy=-162.59+0.03j ± 0.18 [σ²=130.04]]
  1%|          | 19/2500 [00:29<1:00:54,  1.47s/it, Energy=-165.42+0.03j ± 0.16 [σ²=100.79]]
  1%|          | 20/2500 [00:29<1:00:52,  1.47s/it, Energy=-165.42+0.03j ± 0.16 [σ²=100.79]]
  1%|          | 20/2500 [00:31<1:00:52,  1.47s/it, Energy=-167.84-0.01j ± 0.14 [σ²=81.50]] 
  1%|          | 21/2500 [00:31<1:00:50,  1.47s/it, Energy=-167.84-0.01j ± 0.14 [σ²=81.50]]
  1%|          | 21/2500 [00:32<1:00:50,  1.47s/it, Energy=-169.23+0.08j ± 0.13 [σ²=67.82]]
  1%|          | 22/2500 [00:32<1:00:48,  1.47s/it, Energy=-169.23+0.08j ± 0.13 [σ²=67.82]]
  1%|          | 22/2500 [00:34<1:00:48,  1.47s/it, Energy=-170.57-0.07j ± 0.12 [σ²=58.11]]
  1%|          | 23/2500 [00:34<1:00:49,  1.47s/it, Energy=-170.57-0.07j ± 0.12 [σ²=58.11]]
  1%|          | 23/2500 [00:35<1:00:49,  1.47s/it, Energy=-171.66-0.01j ± 0.11 [σ²=49.60]]
  1%|          | 24/2500 [00:35<1:00:47,  1.47s/it, Energy=-171.66-0.01j ± 0.11 [σ²=49.60]]
  1%|          | 24/2500 [00:36<1:00:47,  1.47s/it, Energy=-172.53-0.03j ± 0.10 [σ²=43.17]]
  1%|          | 25/2500 [00:36<1:00:44,  1.47s/it, Energy=-172.53-0.03j ± 0.10 [σ²=43.17]]
  1%|          | 25/2500 [00:38<1:00:44,  1.47s/it, Energy=-173.081+0.014j ± 0.097 [σ²=38.629]]
  1%|          | 26/2500 [00:38<1:00:43,  1.47s/it, Energy=-173.081+0.014j ± 0.097 [σ²=38.629]]
  1%|          | 26/2500 [00:39<1:00:43,  1.47s/it, Energy=-173.872-0.038j ± 0.094 [σ²=36.451]]
  1%|          | 27/2500 [00:39<1:00:41,  1.47s/it, Energy=-173.872-0.038j ± 0.094 [σ²=36.451]]
  1%|          | 27/2500 [00:41<1:00:41,  1.47s/it, Energy=-174.322+0.029j ± 0.088 [σ²=31.364]]
  1%|          | 28/2500 [00:41<1:00:38,  1.47s/it, Energy=-174.322+0.029j ± 0.088 [σ²=31.364]]
  1%|          | 28/2500 [00:42<1:00:38,  1.47s/it, Energy=-174.586-0.012j ± 0.085 [σ²=29.263]]
  1%|          | 29/2500 [00:42<1:00:36,  1.47s/it, Energy=-174.586-0.012j ± 0.085 [σ²=29.263]]
  1%|          | 29/2500 [00:44<1:00:36,  1.47s/it, Energy=-175.171+0.021j ± 0.080 [σ²=25.935]]
  1%|          | 30/2500 [00:44<1:00:32,  1.47s/it, Energy=-175.171+0.021j ± 0.080 [σ²=25.935]]
  1%|          | 30/2500 [00:45<1:00:32,  1.47s/it, Energy=-175.511+0.021j ± 0.075 [σ²=23.293]]
  1%|          | 31/2500 [00:45<1:00:28,  1.47s/it, Energy=-175.511+0.021j ± 0.075 [σ²=23.293]]
  1%|          | 31/2500 [00:47<1:00:28,  1.47s/it, Energy=-175.725+0.023j ± 0.074 [σ²=22.640]]
  1%|▏         | 32/2500 [00:47<1:00:26,  1.47s/it, Energy=-175.725+0.023j ± 0.074 [σ²=22.640]]
  1%|▏         | 32/2500 [00:48<1:00:26,  1.47s/it, Energy=-176.012+0.016j ± 0.071 [σ²=20.670]]
  1%|▏         | 33/2500 [00:48<1:00:25,  1.47s/it, Energy=-176.012+0.016j ± 0.071 [σ²=20.670]]
  1%|▏         | 33/2500 [00:50<1:00:25,  1.47s/it, Energy=-176.156-0.025j ± 0.070 [σ²=20.129]]
  1%|▏         | 34/2500 [00:50<1:00:23,  1.47s/it, Energy=-176.156-0.025j ± 0.070 [σ²=20.129]]
  1%|▏         | 34/2500 [00:51<1:00:23,  1.47s/it, Energy=-176.493+0.008j ± 0.068 [σ²=18.954]]
  1%|▏         | 35/2500 [00:51<1:00:21,  1.47s/it, Energy=-176.493+0.008j ± 0.068 [σ²=18.954]]
  1%|▏         | 35/2500 [00:53<1:00:21,  1.47s/it, Energy=-176.661+0.007j ± 0.065 [σ²=17.294]]
  1%|▏         | 36/2500 [00:53<1:00:21,  1.47s/it, Energy=-176.661+0.007j ± 0.065 [σ²=17.294]]
  1%|▏         | 36/2500 [00:54<1:00:21,  1.47s/it, Energy=-176.752+0.018j ± 0.065 [σ²=17.149]]
  1%|▏         | 37/2500 [00:54<1:00:21,  1.47s/it, Energy=-176.752+0.018j ± 0.065 [σ²=17.149]]
  1%|▏         | 37/2500 [00:56<1:00:21,  1.47s/it, Energy=-176.798-0.014j ± 0.064 [σ²=16.992]]
  2%|▏         | 38/2500 [00:56<1:00:18,  1.47s/it, Energy=-176.798-0.014j ± 0.064 [σ²=16.992]]
  2%|▏         | 38/2500 [00:57<1:00:18,  1.47s/it, Energy=-176.905+0.011j ± 0.064 [σ²=16.877]]
  2%|▏         | 39/2500 [00:57<1:00:16,  1.47s/it, Energy=-176.905+0.011j ± 0.064 [σ²=16.877]]
  2%|▏         | 39/2500 [00:58<1:00:16,  1.47s/it, Energy=-177.026+0.014j ± 0.063 [σ²=16.368]]
  2%|▏         | 40/2500 [00:59<1:00:13,  1.47s/it, Energy=-177.026+0.014j ± 0.063 [σ²=16.368]]
  2%|▏         | 40/2500 [01:00<1:00:13,  1.47s/it, Energy=-177.062-0.012j ± 0.064 [σ²=16.724]]
