Job running on nodes: jean-zay-iam08
Resolved 60 packages in 73ms
Configuring sharding...
Number of distributed processes = 1
Number of total devices: 8
0/1 : global [CudaDevice(id=0), CudaDevice(id=1), CudaDevice(id=2), CudaDevice(id=3), CudaDevice(id=4), CudaDevice(id=5), CudaDevice(id=6), CudaDevice(id=7)]
0/1 : local [CudaDevice(id=0), CudaDevice(id=1), CudaDevice(id=2), CudaDevice(id=3), CudaDevice(id=4), CudaDevice(id=5), CudaDevice(id=6), CudaDevice(id=7)]
0/1 : hostname:  jean-zay-iam08
args_setup: Namespace(config='/lustre/fswork/projects/rech/rgs/uvm91ap/projects/deepNQS/ConvNext/13_12_24/ExpansionFactor/4/config.yaml', system='Shastry_Sutherland', network='ConvNext')
args: Namespace(config=None, system=None, network=None, L=10, J=[0.8, 1.0], n_blocks=[4], features=[72], expansion_factor=4, net_type='Vanilla', kernel_width=3, downsample_factor=2, init_kernel_width=1, samples_per_rank=512, n_chains_per_rank=512, discard_fraction=0.0, iters=[2500, 2500, 2500, 2500], lr=[0.01, 0.01, 0.01, 0.01], diag_shift=[0.01, 0.01, 0.01, 0.01], diag_shift_factor=[0.0001, 0.0001, 0.0001, 0.0001], r=1e-06, save_base='', save_num=0, seed=104, time_it=0, show_progress=1, chunk_size=512, lr_factor=[0.5, 0.5, 0.5, 0.5], save_every=100, symmetries=0, symmetry_ramping=1, momentum=0.9, checkpoint=1, post_iters=50, sweep_factor=1, double_precision=1)
Double precision enabled =  True
Using net_type=Vanilla
Number of symmetry stages = 4
Maximum no. of parameters = 184392, total number of samples = 4096
Using minSR = True
Running optimization...
Symmetry stage 0/3 on process 0:
Compiling...

  0%|          | 0/1 [00:00<?, ?it/s]2024-12-14 02:07:47.400313: W external/xla/xla/service/gpu/ir_emitter_unnested.cc:1171] Unable to parse backend config for custom call: Could not convert JSON string to proto: Expected : between key:value pair.
= 0 : ui8, lower = t
^
Fall back to parse the raw backend config str.

  0%|          | 0/1 [00:28<?, ?it/s, Energy=66.83+1.61j ± 0.70 [σ²=1989.61]]
100%|██████████| 1/1 [00:00<00:00,  3.43it/s, Energy=66.83+1.61j ± 0.70 [σ²=1989.61]]
100%|██████████| 1/1 [00:00<00:00,  3.42it/s, Energy=66.83+1.61j ± 0.70 [σ²=1989.61]]
Compilation time = 29s
Running optimization...

  0%|          | 0/2500 [00:00<?, ?it/s]2024-12-14 02:08:05.921161: W external/xla/xla/service/gpu/ir_emitter_unnested.cc:1171] Unable to parse backend config for custom call: Could not convert JSON string to proto: Expected : between key:value pair.
= 0 : ui8, lower = t
^
Fall back to parse the raw backend config str.

  0%|          | 0/2500 [00:14<?, ?it/s, Energy=14.40-0.05j ± 0.58 [σ²=1390.29]]
  0%|          | 0/2500 [00:01<?, ?it/s, Energy=-15.11-0.51j ± 0.46 [σ²=861.35]]
  0%|          | 1/2500 [00:01<1:21:42,  1.96s/it, Energy=-15.11-0.51j ± 0.46 [σ²=861.35]]
  0%|          | 1/2500 [00:03<1:21:42,  1.96s/it, Energy=-32.06-0.08j ± 0.42 [σ²=716.86]]
  0%|          | 2/2500 [00:03<1:18:38,  1.89s/it, Energy=-32.06-0.08j ± 0.42 [σ²=716.86]]
  0%|          | 2/2500 [00:05<1:18:38,  1.89s/it, Energy=-45.94-0.36j ± 0.40 [σ²=639.33]]
  0%|          | 3/2500 [00:05<1:17:39,  1.87s/it, Energy=-45.94-0.36j ± 0.40 [σ²=639.33]]
  0%|          | 3/2500 [00:07<1:17:39,  1.87s/it, Energy=-58.32-0.02j ± 0.39 [σ²=615.08]]
  0%|          | 4/2500 [00:07<1:17:18,  1.86s/it, Energy=-58.32-0.02j ± 0.39 [σ²=615.08]]
  0%|          | 4/2500 [00:09<1:17:18,  1.86s/it, Energy=-70.91+0.03j ± 0.38 [σ²=590.82]]
  0%|          | 5/2500 [00:09<1:16:59,  1.85s/it, Energy=-70.91+0.03j ± 0.38 [σ²=590.82]]
  0%|          | 5/2500 [00:11<1:16:59,  1.85s/it, Energy=-84.41+0.10j ± 0.37 [σ²=565.11]]
  0%|          | 6/2500 [00:11<1:16:53,  1.85s/it, Energy=-84.41+0.10j ± 0.37 [σ²=565.11]]
  0%|          | 6/2500 [00:13<1:16:53,  1.85s/it, Energy=-97.07+0.28j ± 0.35 [σ²=511.72]]
  0%|          | 7/2500 [00:13<1:16:49,  1.85s/it, Energy=-97.07+0.28j ± 0.35 [σ²=511.72]]
  0%|          | 7/2500 [00:14<1:16:49,  1.85s/it, Energy=-109.45+0.67j ± 0.34 [σ²=480.38]]
  0%|          | 8/2500 [00:14<1:16:46,  1.85s/it, Energy=-109.45+0.67j ± 0.34 [σ²=480.38]]
  0%|          | 8/2500 [00:16<1:16:46,  1.85s/it, Energy=-120.65+0.29j ± 0.32 [σ²=418.21]]
  0%|          | 9/2500 [00:16<1:16:43,  1.85s/it, Energy=-120.65+0.29j ± 0.32 [σ²=418.21]]
  0%|          | 9/2500 [00:18<1:16:43,  1.85s/it, Energy=-130.73+0.21j ± 0.29 [σ²=354.17]]
  0%|          | 10/2500 [00:18<1:16:41,  1.85s/it, Energy=-130.73+0.21j ± 0.29 [σ²=354.17]]
  0%|          | 10/2500 [00:20<1:16:41,  1.85s/it, Energy=-138.90-0.17j ± 0.26 [σ²=272.34]]
  0%|          | 11/2500 [00:20<1:16:40,  1.85s/it, Energy=-138.90-0.17j ± 0.26 [σ²=272.34]]
  0%|          | 11/2500 [00:22<1:16:40,  1.85s/it, Energy=-145.98+0.09j ± 0.24 [σ²=229.03]]
  0%|          | 12/2500 [00:22<1:16:31,  1.85s/it, Energy=-145.98+0.09j ± 0.24 [σ²=229.03]]
  0%|          | 12/2500 [00:24<1:16:31,  1.85s/it, Energy=-151.73-0.10j ± 0.21 [σ²=185.24]]
  1%|          | 13/2500 [00:24<1:16:29,  1.85s/it, Energy=-151.73-0.10j ± 0.21 [σ²=185.24]]
  1%|          | 13/2500 [00:25<1:16:29,  1.85s/it, Energy=-156.26-0.01j ± 0.19 [σ²=149.79]]
  1%|          | 14/2500 [00:25<1:16:29,  1.85s/it, Energy=-156.26-0.01j ± 0.19 [σ²=149.79]]
  1%|          | 14/2500 [00:27<1:16:29,  1.85s/it, Energy=-160.27+0.16j ± 0.17 [σ²=118.28]]
  1%|          | 15/2500 [00:27<1:16:21,  1.84s/it, Energy=-160.27+0.16j ± 0.17 [σ²=118.28]]
  1%|          | 15/2500 [00:29<1:16:21,  1.84s/it, Energy=-163.39-0.25j ± 0.15 [σ²=96.67]] 
  1%|          | 16/2500 [00:29<1:16:22,  1.84s/it, Energy=-163.39-0.25j ± 0.15 [σ²=96.67]]
  1%|          | 16/2500 [00:31<1:16:22,  1.84s/it, Energy=-165.77-0.01j ± 0.14 [σ²=79.43]]
  1%|          | 17/2500 [00:31<1:16:23,  1.85s/it, Energy=-165.77-0.01j ± 0.14 [σ²=79.43]]
  1%|          | 17/2500 [00:33<1:16:23,  1.85s/it, Energy=-167.62-0.02j ± 0.13 [σ²=67.94]]
  1%|          | 18/2500 [00:33<1:16:15,  1.84s/it, Energy=-167.62-0.02j ± 0.13 [σ²=67.94]]
  1%|          | 18/2500 [00:35<1:16:15,  1.84s/it, Energy=-169.07-0.10j ± 0.12 [σ²=60.37]]
  1%|          | 19/2500 [00:35<1:16:15,  1.84s/it, Energy=-169.07-0.10j ± 0.12 [σ²=60.37]]
  1%|          | 19/2500 [00:36<1:16:15,  1.84s/it, Energy=-170.45-0.03j ± 0.11 [σ²=51.52]]
  1%|          | 20/2500 [00:37<1:16:17,  1.85s/it, Energy=-170.45-0.03j ± 0.11 [σ²=51.52]]
  1%|          | 20/2500 [00:38<1:16:17,  1.85s/it, Energy=-171.39-0.07j ± 0.10 [σ²=44.76]]
  1%|          | 21/2500 [00:38<1:16:16,  1.85s/it, Energy=-171.39-0.07j ± 0.10 [σ²=44.76]]
  1%|          | 21/2500 [00:40<1:16:16,  1.85s/it, Energy=-172.17+0.02j ± 0.10 [σ²=41.45]]
  1%|          | 22/2500 [00:40<1:16:14,  1.85s/it, Energy=-172.17+0.02j ± 0.10 [σ²=41.45]]
  1%|          | 22/2500 [00:42<1:16:14,  1.85s/it, Energy=-172.835+0.040j ± 0.096 [σ²=37.811]]
  1%|          | 23/2500 [00:42<1:16:12,  1.85s/it, Energy=-172.835+0.040j ± 0.096 [σ²=37.811]]
  1%|          | 23/2500 [00:44<1:16:12,  1.85s/it, Energy=-173.504+0.025j ± 0.091 [σ²=33.614]]
  1%|          | 24/2500 [00:44<1:16:09,  1.85s/it, Energy=-173.504+0.025j ± 0.091 [σ²=33.614]]
  1%|          | 24/2500 [00:46<1:16:09,  1.85s/it, Energy=-173.949+0.096j ± 0.088 [σ²=31.404]]
  1%|          | 25/2500 [00:46<1:16:07,  1.85s/it, Energy=-173.949+0.096j ± 0.088 [σ²=31.404]]
  1%|          | 25/2500 [00:48<1:16:07,  1.85s/it, Energy=-174.248-0.015j ± 0.086 [σ²=30.531]]
  1%|          | 26/2500 [00:48<1:16:06,  1.85s/it, Energy=-174.248-0.015j ± 0.086 [σ²=30.531]]
  1%|          | 26/2500 [00:49<1:16:06,  1.85s/it, Energy=-174.642+0.044j ± 0.082 [σ²=27.563]]
  1%|          | 27/2500 [00:49<1:16:03,  1.85s/it, Energy=-174.642+0.044j ± 0.082 [σ²=27.563]]
  1%|          | 27/2500 [00:51<1:16:03,  1.85s/it, Energy=-175.158-0.019j ± 0.080 [σ²=26.286]]
  1%|          | 28/2500 [00:51<1:16:01,  1.85s/it, Energy=-175.158-0.019j ± 0.080 [σ²=26.286]]
  1%|          | 28/2500 [00:53<1:16:01,  1.85s/it, Energy=-175.378+0.013j ± 0.076 [σ²=23.658]]
  1%|          | 29/2500 [00:53<1:16:00,  1.85s/it, Energy=-175.378+0.013j ± 0.076 [σ²=23.658]]
  1%|          | 29/2500 [00:55<1:16:00,  1.85s/it, Energy=-175.700-0.021j ± 0.074 [σ²=22.687]]
  1%|          | 30/2500 [00:55<1:15:58,  1.85s/it, Energy=-175.700-0.021j ± 0.074 [σ²=22.687]]
  1%|          | 30/2500 [00:57<1:15:58,  1.85s/it, Energy=-175.914-0.006j ± 0.072 [σ²=21.366]]
  1%|          | 31/2500 [00:57<1:15:55,  1.85s/it, Energy=-175.914-0.006j ± 0.072 [σ²=21.366]]
  1%|          | 31/2500 [00:59<1:15:55,  1.85s/it, Energy=-176.132+0.011j ± 0.072 [σ²=21.307]]
  1%|▏         | 32/2500 [00:59<1:15:52,  1.84s/it, Energy=-176.132+0.011j ± 0.072 [σ²=21.307]]
  1%|▏         | 32/2500 [01:00<1:15:52,  1.84s/it, Energy=-176.329+0.024j ± 0.069 [σ²=19.647]]
  1%|▏         | 33/2500 [01:00<1:15:48,  1.84s/it, Energy=-176.329+0.024j ± 0.069 [σ²=19.647]]
  1%|▏         | 33/2500 [01:02<1:15:48,  1.84s/it, Energy=-176.615+0.022j ± 0.066 [σ²=17.813]]
  1%|▏         | 34/2500 [01:02<1:15:46,  1.84s/it, Energy=-176.615+0.022j ± 0.066 [σ²=17.813]]
  1%|▏         | 34/2500 [01:04<1:15:46,  1.84s/it, Energy=-176.668+0.013j ± 0.065 [σ²=17.261]]
  1%|▏         | 35/2500 [01:04<1:15:45,  1.84s/it, Energy=-176.668+0.013j ± 0.065 [σ²=17.261]]
  1%|▏         | 35/2500 [01:06<1:15:45,  1.84s/it, Energy=-176.814-0.005j ± 0.064 [σ²=16.794]]
  1%|▏         | 36/2500 [01:06<1:15:44,  1.84s/it, Energy=-176.814-0.005j ± 0.064 [σ²=16.794]]
  1%|▏         | 36/2500 [01:08<1:15:44,  1.84s/it, Energy=-176.979+0.021j ± 0.064 [σ²=16.875]]
  1%|▏         | 37/2500 [01:08<1:15:42,  1.84s/it, Energy=-176.979+0.021j ± 0.064 [σ²=16.875]]
  1%|▏         | 37/2500 [01:10<1:15:42,  1.84s/it, Energy=-176.982+0.016j ± 0.062 [σ²=15.960]]
  2%|▏         | 38/2500 [01:10<1:15:38,  1.84s/it, Energy=-176.982+0.016j ± 0.062 [σ²=15.960]]
  2%|▏         | 38/2500 [01:12<1:15:38,  1.84s/it, Energy=-177.244-0.006j ± 0.063 [σ²=16.303]]
  2%|▏         | 39/2500 [01:12<1:15:36,  1.84s/it, Energy=-177.244-0.006j ± 0.063 [σ²=16.303]]
  2%|▏         | 39/2500 [01:13<1:15:36,  1.84s/it, Energy=-177.195+0.034j ± 0.063 [σ²=16.281]]
  2%|▏         | 40/2500 [01:13<1:15:34,  1.84s/it, Energy=-177.195+0.034j ± 0.063 [σ²=16.281]]
  2%|▏         | 40/2500 [01:15<1:15:34,  1.84s/it, Energy=-177.332+0.010j ± 0.061 [σ²=15.373]]
